# "Named" Bolometers
B2D06H           N19C00 
B2B06H           N19C01 
B2C05V           N19C02 
B2A05V           N19C03 
B2E05V           N19C04 
B2B05V           N19C05 
B2D05V           N19C06 
B2C04H           N19C07 
B2A04H           N19C08 
B2D04H           N19C09 
B2B04H           N19C10 
B2C03V           N19C11 
B2B03V           N19C12 
B2A03V           N19C13 
B2A02H           N19C14 
B2D03V           N19C15 
B2C02H           N19C16 
B2B02H           N19C17 
B2D02H           N19C18 
B2A01V           N19C19 
B2C01V           N19C20 
B2B01V           N19C21 
B2D1             N19C22 
B2D01V           N19C23 
B2R1             N22C00 
B2D16H           N22C01 
B2T1             N22C02 
B2B16H           N22C03 
B2C15V           N22C04 
B2A15V           N22C05 
B2D15V           N22C06 
B2B15V           N22C07 
B2C14H           N22C08 
B2D14H           N22C09 
B2A14H           N22C10 
B2A13V           N22C11 
B2B14H           N22C12 
B2C13V           N22C13 
B2B13V           N22C14 
B2D13V           N22C15 
B2A12H           N22C16 
B2C12H           N22C17 
B2D12H           N22C18 
B2B12H           N22C19 
B2E11V           N22C20 
B2A11V           N22C21 
B2C11V           N22C22 
B2B11V           N22C23 
B2D11V           N23C00 
B2A10H           N23C01 
B2E10H           N23C02 
B2C10H           N23C03 
B2B10H           N23C04 
B2D10H           N23C05 
B2A09V           N23C06 
B2E09V           N23C07 
B2C09V           N23C08 
B2B09V           N23C09 
B2D09V           N23C10 
B2A08H           N23C11 
B2C08H           N23C12 
B2E08H           N23C13 
B2D08H           N23C14 
B2B08H           N23C15 
B2C07V           N23C16 
B2E07V           N23C17 
B2A07V           N23C18 
B2D07V           N23C19 
B2B07V           N23C20 
B2C06H           N23C21 
B2E06H           N23C22 
B2A06H           N23C23 
B2F12H           N17C00 
B2J11V           N17C01 
B2E12H           N17C02 
B2H12H           N17C03 
B2G12H           N17C04 
B2F13V           N17C05 
B2E13V           N17C06 
B2J12H           N17C07 
B2H13V           N17C08 
B2G13V           N17C09 
B2F14H           N17C10 
B2E14H           N17C11 
B2J13V           N17C12 
B2H14H           N17C13 
B2G14H           N17C14 
B2J14H           N17C15 
B2F15V           N17C16 
B2H15V           N17C17 
B2J15V           N17C18 
B2G15V           N17C19 
B2H16H           N17C20 
B2D2             N17C21 
B2F16H           N17C22 
B2E15V           N17C23 
B2E01V           N18C00 
B2F01V           N18C01 
B2T2             N18C02 
B2H01V           N18C03 
B2G01V           N18C04 
B2J01V           N18C05 
B2H02H           N18C06 
B2F02H           N18C07 
B2J02H           N18C08 
B2G02H           N18C09 
B2H03V           N18C10 
B2J03V           N18C11 
B2E02H           N18C12 
B2F03V           N18C13 
B2G03V           N18C14 
B2H04H           N18C15 
B2J04H           N18C16 
B2E03V           N18C17 
B2F04H           N18C18 
B2G04H           N18C19 
B2H05V           N18C20 
B2E04H           N18C21 
B2J05V           N18C22 
B2F05V           N18C23 
B2G05V           N21C00 
B2H06H           N21C01 
B2J06H           N21C02 
B2F06H           N21C03 
B2G06H           N21C04 
B2H07V           N21C05 
B2F07V           N21C06 
B2J07V           N21C07 
B2G07V           N21C08 
B2H08H           N21C09 
B2F08H           N21C10 
B2G08H           N21C11 
B2J08H           N21C12 
B2F09V           N21C13 
B2H09V           N21C14 
B2G09V           N21C15 
B2J09V           N21C16 
B2F10H           N21C17 
B2H10H           N21C18 
B2G10H           N21C19 
B2F11V           N21C20 
B2J10H           N21C21 
B2H11V           N21C22 
B2G11V           N21C23 
B3A07V           N27C00 
B3A06H           N27C01 
B3B06V           N27C02 
B3C07V           N27C03 
B3A05V           N27C04 
B3B05H           N27C05 
B3C06H           N27C06 
B3D06V           N27C07 
B3B04V           N27C08 
B3C05V           N27C09 
B3D04V           N27C10 
B3A04H           N27C11 
B3C04H           N27C12 
B3B03H           N27C13 
B3C03V           N27C14 
B3B02V           N27C15 
B3D02V           N27C16 
B3A03V           N27C17 
B3A02H           N27C18 
B3C02H           N27C19 
B3B01H           N27C20 
B3A01V           N27C21 
B3D1             N27C22 
B3C01V           N27C23 
B3E07V           N25C00 
B3D07H           N25C01 
B3F07H           N25C02 
B3E08H           N25C03 
B3G08H           N25C04 
B3F08V           N25C05 
B3E09V           N25C06 
B3G09V           N25C07 
B3D09H           N25C08 
B3F09H           N25C09 
B3E10H           N25C10 
B3G10H           N25C11 
B3O1             N25C12 
B3F10V           N25C13 
B3E11V           N25C14 
B3G11V           N25C15 
B3F11H           N25C16 
B3E12H           N25C17 
B3G12H           N25C18 
B3F12V           N25C19 
B3G13V           N25C20 
B3D2             N25C21 
B3O2             N25C22 
B3R2             N25C23 
B3A13V           N30C00 
B3T2             N30C01 
B3B12V           N30C02 
B3C13V           N30C03 
B3A12H           N30C04 
B3D12V           N30C05 
B3C12H           N30C06 
B3B11H           N30C07 
B3A11V           N30C08 
B3E13V           N30C09 
B3D11H           N30C10 
B3C11V           N30C11 
B3B10V           N30C12 
B3A10H           N30C13 
B3D10V           N30C14 
B3B09H           N30C15 
B3C10H           N30C16 
B3C09V           N30C17 
B3A09V           N30C18 
B3B08V           N30C19 
B3A08H           N30C20 
B3D08V           N30C21 
B3C08H           N30C22 
B3B07H           N30C23 
B3R1             N26C00 
B3G01V           N26C01 
B3T1             N26C02 
B3E01V           N26C03 
B3D01H           N26C04 
B3F01H           N26C05 
