##########################																						
# BLAST-Pol "bolo table" 2012																						
#																						
# Most recent updates in each category:																						
#   - to noise fit (WhiteNoise, 1/f, alpha):  SJB 18 Dec 2013																						
#   - to pixel offsets (EL, XEL):             JAS 20 Oct 2013																						
# Chi_250	0																					
# Chi_350	0																					
# Chi_500	0																					
Name	N	C	Type	EL	XEL	Angle	pix	LR1	LR2	CRJ	BW	Resp.	S	WhiteNoise	1/f	Res.	Chi	p_eff	q_ip	u_ip	alpha	Old																						
B2A01V	19	19	250	220.53129	354.39214	90	A01	8.72	8.72	0	0	1	0	3.1345108e-06	0.075083346	2.32	12	1	0.0136	0.0316	1.3857984	N5C19
B2A02H	19	14	B250	0	0	0	A02	8.64	8.64	0	0	1	0	5.19e-05	0.165059	2.13	12	1	0	0	27	N5C14
B2A03V	19	13	250	215.55817	243.80674	90	A03	8.6	8.64	0	0	1	0	2.973687e-06	0.055474391	2.04	12	1	0.0165	0.0192	1.6786194	N5C13
B2A04H	19	8	250	214.12593	187.60805	0	A04	8.72	8.64	0	0	1	0	3.0372059e-06	0.06280613	1.92	12	1	-0.0058	-0.0287	1.5686592	N5C8
B2A05V	19	3	250	210.72849	132.23016	90	A05	8.59	8.56	0	0	1	0	2.8624395e-06	0.061643936	1.81	12	1	0.0212	-0.0056	1.5637839	N5C3
B2A06H	23	23	250	206.20634	75.04024	0	A06	8.44	8.44	0	0	1	0	3.3402988e-06	0.063653776	1.97	12	1	0.0001	-0.0236	1.5374894	N7C23
B2A07V	23	18	250	205.02452	20.190728	90	A07	8.4	8.46	0	0	1	0	3.2771586e-06	0.061396859	1.81	12	1	0.0163	-0.0089	1.5887729	N7C18
B2A08H	23	11	250	200.7608	-36.47735	0	A08	8.35	8.4	0	0	1	0	3.7673445e-06	0.10146987	1.63	12	1	0.0108	-0.0102	1.0869153	N7C11
B2A09V	23	6	250	198.0168	-93.266943	90	A09	8.32	8.4	0	0	1	0	3.4588481e-06	0.073752726	1.69	12	1	0.0133	0.0052	1.4484276	N7C6
B2A10H	23	1	250	193.64745	-148.89985	0	A10	8.4	8.32	0	0	1	0	3.7590115e-06	0.062528387	1.87	12	1	0.0036	-0.0096	1.6072824	N7C1
B2A11V	22	21	250	192.22687	-204.93985	90	A11	8.4	8.36	0	0	1	0	3.4284311e-06	0.074346951	1.69	12	1	0.0243	0.0015	1.375172	N6C21
B2A12H	22	16	250	187.39767	-261.20357	0	A12	8.44	8.38	0	0	1	0	3.741955e-06	0.071867762	1.76	12	1	0.0076	-0.0159	1.5156122	N6C16
B2A13V	22	11	250	188.10704	-317.70731	90	A13	8.48	8.44	0	0	1	0	3.5392942e-06	0.10095851	1.85	12	1	0.0173	0.0007	1.2301784	N6C11
B2A14H	22	10	250	183.54319	-373.78164	0	A14	8.48	8.4	0	0	1	0	4.3000334e-06	0.076380553	1.94	12	1	0.0085	-0.0104	1.3644332	N6C10
B2A15V	22	5	B250	330.99648	-304.87596	90	A15	8.48	8.41	0	0	1	0	3.76e-06	0.110039	2.07	12	1	0	0	49	N6C5
B2B01V	19	21	B250	173.22844	386.79944	90	B01	8.72	8.72	0	0	1	0	4.33e-06	0.146719	2.39	12	1	0	0	41	N5C21
B2B02H	19	17	250	170.67828	326.33594	0	B02	8.68	8.64	0	0	1	0	3.5638936e-06	0.054260692	2.25	12	1	0.0153	-0.0317	1.7228181	N5C17
B2B03V	19	12	250	168.20079	271.93154	90	B03	8.66	8.68	0	0	1	0	3.3969744e-06	0.056793497	2.06	12	1	0.0153	0.0022	1.6631062	N5C12
B2B04H	19	10	B250	0	0	0	B04	8.78	8.72	0	0	1	0	0	0	17.88	12	1	0	0	1	N5C10
B2B05V	19	5	250	163.15094	159.81684	90	B05	8.64	8.68	0	0	1	0	3.4012273e-06	0.061935377	1.92	12	1	0.0215	0.0019	1.4825707	N5C5
B2B06H	19	1	250	159.48954	102.55363	0	B06	8.56	8.58	0	0	1	0	3.1297355e-06	0.061991301	1.8	12	1	-0.0005	-0.0126	1.5815569	N5C1
B2B07V	23	20	250	156.36936	47.242074	90	B07	8.44	8.48	0	0	1	0	3.238195e-06	0.060517598	1.9	12	1	0.0101	-0.0027	1.6147655	N7C20
